ID,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.
1,1901 Bo Flex'd (Passion Pit Remix) - REMIX VERSION,Phoenix,2009-10-20,144,80,54,-9,13,4:15,0,0
2,Napoleon says,Phoenix,2006-05-12,123,74,54,-3,65,3:14,1,15
3,Tighten Up,The Black Keys,2010-04-13,109,71,50,-6,58,3:31,0,40
4,North American Scum,LCD Soundsystem,2007-03-12,138,84,88,-5,70,5:29,1,55
5,Sleepyhead,Passion Pit,2008-09-16,106,97,57,-3,75,2:55,43,56
6,On Melancholy Hill,Gorillaz,2010-03-03,120,74,69,-6,59,3:54,0,75
7,Chinatown,Wild Nothing,2010-05-25,126,70,54,-6,25,3:19,0,1
8,Blessa,Toro y Moi,2010-02-23,100,46,54,-10,17,2:43,59,0
9,How Deep Is Your Love?,The Rapture,2011-07-25,122,83,47,-4,13,6:28,0,2
10,Ritual Union,Little Dragon,2011-06-20,144,74,70,-4,80,3:34,4,0
11,Someday,The Strokes,2001,106,52,54,-7,68,3:03,0,0
12,Is This It,The Strokes,2001-10-08,96,69,67,-8,85,2:31,15,57
13,The King's new clothes were made by his own hands,Shabazz Palaces,2011-06-28,129,59,72,-8,31,2:07,46,29
14,Congratulations,MGMT,2010-04-09,125,64,76,-8,67,3:55,44,61
15,It's Working,MGMT,2010-04-09,155,95,38,-4,53,4:06,6,44
16,Floating Vibes,Surfer Blood,2010,127,70,52,-5,47,4:00,18,0
17,Catholic Pagans,Surfer Blood,2010,121,49,41,-8,19,3:13,78,0
18,Nature Of The Experiment,Tokyo Police Club,2006-10-10,101,91,54,-3,89,2:02,0,41
19,Smells Like Teen Spirit,Nirvana,1991-09-26,117,84,50,-9,77,5:01,0,2
20,Bambi,Tokyo Police Club,2010-06-08,140,85,62,-7,82,2:46,0,0
21,Favourite Food,Tokyo Police Club,2010-06-08,123,63,32,-7,20,3:56,3,0
22,Bizness,tUnE-yArDs,2011-04-18,111,76,76,-6,62,4:24,20,50
23,My Country,tUnE-yArDs,2011-04-18,120,82,65,-7,49,3:40,1,38
24,Heaven Is Real,John Maus,2007-11-26,160,53,51,-11,70,4:16,27,0
25,The Bay,Metronomy,2011-04-11,121,47,80,-7,88,4:50,59,14
26,Xtatic Truth,Crystal Fighters,2011-08-07,151,72,49,-7,61,3:39,32,0
27,Solar System,Crystal Fighters,2011-08-07,135,63,65,-9,38,3:58,0,0
28,I Got Mine,The Black Keys,2008-04-01,158,83,25,-6,45,3:59,3,53
29,Your Touch,The Black Keys,2006-09-12,116,77,53,-9,67,2:43,80,51
30,Fever Dreaming,No Age,2010-09-28,179,99,18,-7,50,3:48,0,2
31,King Of The Beach,Wavves,2010-07-13,170,97,37,-2,56,2:38,0,1
32,Linus Spacehead,Wavves,2010-07-13,138,94,46,-3,31,3:12,0,0
33,Dance (If You Wanna),Vivian Girls,2011-04-11,117,80,45,-4,62,2:59,22,26
34,Summer Mood,Best Coast,2010-07-27,122,78,38,-4,48,2:26,7,0
35,What It's All About,Girl Talk,2008-09-23,90,71,71,-7,75,4:15,7,45
36,Paddling Ghost,Dan Deacon,2009-03-23,180,77,35,-4,15,4:06,0,25
37,CMYK,James Blake,2010-05-31,139,81,37,-8,24,3:39,18,0
38,Sutphin Boulevard,Blood Orange,2011-06-21,100,38,84,-10,86,3:34,0,0
39,The Complete Knock - Bottin mix,Blood Orange,2011-06-21,120,86,75,-7,7,6:22,0,0
40,Precious,Little Dragon,2009-08-03,133,78,85,-6,71,3:51,0,0
41,After The Rain,Little Dragon,2007,181,56,77,-6,47,4:04,1,0
42,Twice,Little Dragon,2007,137,19,39,-12,26,3:06,98,0
43,Yoshimi Battles The Pink Robots Part 1,The Flaming Lips,2002-05-13,156,90,56,-8,60,4:48,34,62
44,Love My Way,The Psychedelic Furs,2003-08-29,126,77,64,-8,55,3:34,0,61
45,Da Funk,Daft Punk,2006-03-31,111,70,81,-5,89,5:29,0,49
46,One More Time,Daft Punk,2001-03-07,123,70,61,-9,47,5:20,2,75
47,Lotus Flower,Radiohead,2011-03-29,128,69,73,-9,62,5:00,9,4
48,Pachuca Sunrise,Minus The Bear,2008-10-07,157,59,51,-10,56,3:39,30,38
49,We Are Not A Football Team,Minus The Bear,2008-10-07,127,44,70,-12,61,2:58,52,30
50,Crystalised,The xx,2009-08-18,123,48,76,-12,45,3:22,81,60
51,Surf Wax America,Weezer,1994-05-10,165,92,41,-7,29,3:06,0,48
52,Giving Up The Gun,Vampire Weekend,2010-01-11,134,88,64,-5,73,4:46,0,50
53,All Around And Away We Go,Mr Twin Sister,2010-11-22,101,62,71,-9,80,4:37,37,0
54,Written In Reverse,Spoon,2010-01-18,102,74,73,-5,74,4:19,16,0
55,I Turn My Camera On,Spoon,2005-05-10,100,37,92,-9,76,3:32,2,4
56,Dead Girls Dance,Oberhofer,2011-02-15,84,53,38,-8,10,3:18,3,0
57,2 Hearts,Digitalism,2011-04-18,143,88,47,-4,38,3:56,0,0
58,Wildfire,SBTRKT,2011-05-23,140,48,84,-7,34,3:21,3,43
59,Lex,Ratatat,2006-08-22,105,76,65,-5,35,4:30,1,50
60,Drugs,Ratatat,2010-06-08,120,91,72,-6,35,4:55,10,18
61,Mirando,Ratatat,2008-07-06,180,81,59,-5,81,3:52,3,36
62,Wildcat,Ratatat,2006-08-22,116,72,70,-8,79,4:20,5,58
63,Back In Your Head - Tiesto Remix,Tegan and Sara,2007,136,51,88,-7,42,8:10,0,23
64,Alligator - Ra Ra Riot Remix,Tegan and Sara,2010-03-29,115,57,80,-7,88,2:48,12,5
65,Think I'm In Love,Beck,2006-01-01,130,58,87,-6,85,3:19,2,48
66,Cellphone's Dead,Beck,2006-01-01,108,71,76,-6,74,4:46,18,44
67,Sexx Laws,Beck,1999,134,92,64,-4,85,3:39,1,45
68,Celestica,Crystal Castles,2010-01-01,126,70,54,-6,31,3:50,2,43
69,Soldier of Love,Sade,2010-02-05,90,57,78,-8,63,5:57,1,55
70,Despicable Dogs,Small Black,2009,120,48,43,-6,17,3:54,0,0
71,I Want You To Know,Dinosaur Jr.,2009-06-21,176,95,8,-5,32,4:30,1,27
72,Stillness Is The Move,Dirty Projectors,2009-06-07,76,54,58,-6,51,5:16,9,0
